湖北,#genre#
湖北卫视,http://117.148.179.160/PLTV/88888888/224/3221231888/index.m3u8#http://39.134.135.126/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226240/1.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226159/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226159/index.m3u8
湖北综合,http://enshi-live21.cjyun.org/hbtv/hbtv-hbzh.m3u8?auth_key=1640966399-0-0-2ecc091d3ee5ef3094151b78c1132701 
湖北经视,http://enshi-live21.cjyun.org/hbtv/hbtv-hbjs.m3u8?auth_key=1640966399-0-0-691ed8ee5498939e45ab54952d15b72b 
湖北公共·新闻,http://enshi-live21.cjyun.org/hbtv/hbtv-hbgg.m3u8?auth_key=1640966399-0-0-fcacd730a23128594ac3b607b11c269e 
湖北影视,http://enshi-live21.cjyun.org/hbtv/hbtv-hbys.m3u8?auth_key=1640966399-0-0-dbcc07a05631198b1dc8e55e86cb390a 
湖北生活,http://enshi-live21.cjyun.org/hbtv/hbtv-hbsh.m3u8?auth_key=1640966399-0-0-e623f572ad934cff19bda1aab94ed404 
湖北垄上,http://enshi-live21.cjyun.org/hbtv/hbtv-hbls.m3u8?auth_key=1640966399-0-0-08163271c110e79717ec90e66384f19e 
湖北综合,http://cg01.hrtn.net:9090/live/hbzhhd_4000.m3u8
湖北经视,http://cg01.hrtn.net:9090/live/hbjs_1500.m3u8
湖北垄上,http://cg01.hrtn.net:9090/live/hbls_1500.m3u8
湖北公共·新闻,http://cg01.hrtn.net:9090/live/hbgg_1500.m3u8
湖北影视,http://cg01.hrtn.net:9090/live/hbys_1500.m3u8
武汉新闻综合,http://cg01.hrtn.net:9090/live/whtv1_1500.m3u8
武汉电视剧,http://cg01.hrtn.net:9090/live/whtv2hd_4000.m3u8
武汉新闻综合,http://player.ioioz.com/1691/hubei/wuhanm3u8.php?id=wuhan1
武汉文体,http://cg01.hrtn.net:9090/live/whtv5_1500.m3u8
